Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,7,0,5,20,1500,750,0,0,7
2,10,0,9,16,19020,2377,0,0,17
3,3,0,7,18,42960,3304,0,0,20
4,11,0,10,15,72120,3434,0,0,31
5,5,0,7,18,110520,3811,0,0,36
6,8,0,10,15,134040,3942,0,0,44
7,8,0,13,12,159960,4101,0,0,52
8,6,0,9,16,206280,4209,0,0,58
9,11,0,13,12,239160,4270,0,0,69
10,6,0,10,15,282060,4339,0,0,75
11,12,0,14,11,320520,4390,0,0,87
12,7,0,15,10,349320,4421,0,0,94
13,9,0,12,13,399720,4392,0,0,103
14,19,0,19,6,443820,4308,0,0,122
15,12,0,19,6,511020,4443,0,0,134
16,8,0,9,16,590700,4441,0,0,142
17,10,0,14,11,613020,4442,0,0,152
18,9,0,13,12,657480,4442,0,0,161
19,8,0,12,13,704040,4484,0,0,169
20,5,0,11,14,736680,4519,0,0,174
21,7,0,9,16,779040,4529,0,0,181
22,7,0,9,16,814440,4549,0,0,188
23,6,0,9,16,845160,4568,0,0,194
24,5,0,6,19,886140,4591,0,0,199
25,4,0,6,19,901980,4578,0,0,203
26,6,0,6,19,926820,4565,0,0,209
27,4,0,6,19,940680,4544,0,0,213
28,4,0,5,20,963480,4544,0,0,217
29,8,0,11,14,973020,4546,0,0,225
30,9,0,14,11,999300,4542,0,0,234
31,4,0,5,20,1073160,4605,0,0,238
32,3,0,5,20,1087200,4606,0,0,241
33,8,0,6,19,1111920,4575,0,0,249
34,11,0,15,10,1121820,4578,0,0,260
35,9,0,14,11,1170840,4591,0,0,269
36,11,0,13,12,1231560,4612,0,0,280
37,10,0,14,11,1276140,4623,0,0,290
38,11,0,15,10,1324560,4631,0,0,301
39,7,0,11,14,1365840,4598,0,0,308
40,10,0,11,14,1413600,4604,0,0,318
41,8,0,10,15,1452180,4595,0,0,326
42,5,0,5,20,1511160,4635,0,0,331
43,8,0,9,16,1529700,4635,0,0,339
44,7,0,11,14,1546680,4616,0,0,346
45,7,0,11,14,1578300,4614,0,0,353
46,6,0,8,17,1623240,4624,0,0,359
47,6,0,8,17,1661580,4654,0,0,365
48,3,0,4,21,1687920,4637,0,0,368
49,6,0,7,18,1703280,4641,0,0,374
50,5,0,6,19,1721040,4614,0,0,379
51,10,0,12,13,1743600,4624,0,0,389
52,5,0,9,16,1776180,4613,0,0,394
53,8,0,6,19,1824420,4607,0,0,402
54,4,0,6,19,1841220,4603,0,0,406
55,7,0,8,17,1857720,4586,0,0,413
56,8,0,6,19,1895580,4567,0,0,421
57,7,0,10,15,1911240,4572,0,0,428
58,10,0,11,14,1947300,4560,0,0,438
59,9,0,13,12,1981380,4565,0,0,447
60,11,0,14,11,2029740,4571,0,0,458
61,5,0,6,19,2083380,4558,0,0,463
62,11,0,12,13,2104860,4555,0,0,474
63,8,0,14,11,2136540,4565,0,0,482
64,7,0,11,14,2187960,4577,0,0,489
65,11,0,10,15,2228220,4547,0,0,500
66,9,0,9,16,2270580,4541,0,0,509
67,7,0,8,17,2297400,4522,0,0,516
68,8,0,9,16,2327640,4519,0,0,524
69,6,0,9,16,2354400,4519,0,0,530
70,4,0,6,19,2387700,4522,0,0,534
71,5,0,7,18,2413200,4536,0,0,539
72,6,0,7,18,2439300,4534,0,0,545
73,4,0,5,20,2468640,4537,0,0,549
74,9,0,10,15,2486400,4537,0,0,558
75,3,0,7,18,2514960,4539,0,0,561
76,6,0,5,20,2554500,4545,0,0,567
77,7,0,9,16,2561700,4533,0,0,574
