Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,6,0,3,22,3660,1220,0,0,6
2,11,0,10,15,11820,1688,0,0,17
3,5,0,8,17,27180,1941,0,0,22
4,3,0,2,23,70320,3057,0,0,25
5,2,0,4,21,70320,3057,0,0,27
6,11,0,11,14,92880,3440,0,0,38
7,10,0,10,15,117660,3096,0,0,48
8,6,0,8,17,153060,3327,0,0,54
9,6,0,7,18,180480,3405,0,0,60
10,13,0,12,13,211320,3464,0,0,73
11,4,0,9,16,240240,3532,0,0,77
12,11,0,15,10,264660,3625,0,0,88
13,9,0,11,14,316380,3678,0,0,97
14,8,0,14,11,342420,3762,0,0,105
15,12,0,11,14,402360,3795,0,0,117
16,5,0,3,22,444720,3737,0,0,122
17,10,0,8,17,466380,3761,0,0,132
18,8,0,8,17,481320,3646,0,0,140
19,9,0,8,17,505920,3588,0,0,149
20,3,0,9,16,518040,3622,0,0,152
21,6,0,6,19,554880,3650,0,0,158
22,7,0,4,21,589560,3661,0,0,165
23,6,0,6,19,597240,3619,0,0,171
24,3,0,4,21,625020,3676,0,0,174
25,7,0,6,19,645000,3685,0,0,181
26,6,0,4,21,670020,3661,0,0,187
27,7,0,5,20,685380,3626,0,0,194
28,7,0,8,17,705900,3657,0,0,201
29,5,0,4,21,732120,3624,0,0,206
30,12,0,11,14,743700,3592,0,0,218
31,11,0,13,12,773100,3579,0,0,229
32,7,0,7,18,819180,3577,0,0,236
33,9,0,7,18,845340,3551,0,0,245
34,6,0,11,14,853920,3558,0,0,251
35,5,0,5,20,909720,3624,0,0,256
36,9,0,8,17,931380,3624,0,0,265
37,12,0,13,12,949380,3596,0,0,277
38,16,0,13,12,1003800,3585,0,0,293
39,9,0,11,14,1042860,3583,0,0,302
40,9,0,6,19,1091040,3577,0,0,311
41,8,0,7,18,1119180,3587,0,0,319
42,9,0,7,18,1145460,3568,0,0,328
43,4,0,6,19,1157100,3549,0,0,332
44,13,0,13,12,1183200,3563,0,0,345
45,7,0,7,18,1230600,3566,0,0,352
46,10,0,5,20,1261200,3532,0,0,362
47,6,0,5,20,1278000,3520,0,0,368
48,4,0,5,20,1291860,3520,0,0,372
49,4,0,5,20,1308360,3526,0,0,376
50,5,0,6,19,1318920,3517,0,0,381
51,6,0,5,20,1343580,3517,0,0,387
52,3,0,6,19,1356180,3531,0,0,390
53,7,0,9,16,1374540,3542,0,0,397
54,2,0,3,22,1412220,3566,0,0,399
55,5,0,4,21,1433340,3583,0,0,404
56,11,0,10,15,1441260,3558,0,0,415
57,13,0,10,15,1481280,3543,0,0,428
58,6,0,8,17,1508820,3541,0,0,434
59,9,0,8,17,1546620,3555,0,0,443
60,13,0,12,13,1575240,3547,0,0,456
61,8,0,9,16,1602120,3521,0,0,464
62,6,0,4,21,1649700,3540,0,0,470
63,12,0,5,20,1677420,3516,0,0,482
64,9,0,6,19,1699020,3503,0,0,491
65,10,0,7,18,1716960,3475,0,0,501
66,7,0,5,20,1738200,3455,0,0,508
67,8,0,6,19,1756680,3444,0,0,516
68,7,0,8,17,1767720,3432,0,0,523
69,9,0,10,15,1802820,3453,0,0,532
70,5,0,6,19,1830360,3447,0,0,537
71,9,0,7,18,1870680,3470,0,0,546
72,6,0,9,16,1883880,3469,0,0,552
73,7,0,7,18,1919040,3476,0,0,559
74,4,0,5,20,1953180,3500,0,0,563
75,3,0,4,21,1975560,3515,0,0,566
76,4,0,2,23,2001360,3523,0,0,570
77,9,0,6,19,2016360,3518,0,0,579
78,11,0,10,15,2030700,3501,0,0,590
79,7,0,10,15,2051640,3495,0,0,597
80,6,0,6,19,2100420,3518,0,0,603
81,8,0,8,17,2119560,3515,0,0,611
82,5,0,6,19,2149500,3523,0,0,616
83,8,0,8,17,2174280,3529,0,0,624
84,11,0,13,12,2187180,3516,0,0,635
85,11,0,14,11,2227020,3523,0,0,646
86,9,0,6,19,2300940,3545,0,0,655
87,6,0,7,18,2320620,3548,0,0,661
88,9,0,10,15,2347020,3556,0,0,670
89,8,0,8,17,2375340,3545,0,0,678
90,7,0,9,16,2394660,3542,0,0,685
91,8,0,9,16,2417340,3534,0,0,693
92,8,0,8,17,2464680,3556,0,0,701
93,5,0,9,16,2479380,3557,0,0,706
94,7,0,8,17,2514060,3566,0,0,713
95,3,0,5,20,2541360,3574,0,0,716
96,5,0,5,20,2565540,3583,0,0,721
97,10,0,8,17,2583960,3573,0,0,731
98,6,0,7,18,2610840,3576,0,0,737
99,3,0,5,20,2644020,3597,0,0,740
100,3,0,3,22,2670060,3608,0,0,743
101,7,0,7,18,2684160,3612,0,0,750
102,9,0,8,17,2706360,3603,0,0,759
103,6,0,9,16,2720940,3599,0,0,765
104,8,0,9,16,2749860,3599,0,0,773
105,10,0,11,14,2774400,3593,0,0,783
106,12,0,14,11,2804640,3591,0,0,795
107,15,0,14,11,2854920,3586,0,0,810
108,10,0,11,14,2896080,3579,0,0,820
109,12,1,13,12,2923020,3573,0,0,832
110,12,0,17,8,2975640,3598,840,0,844
111,2,0,5,20,3034440,3608,840,0,846
112,5,0,4,21,3072720,3627,840,0,851
113,13,0,12,13,3082320,3617,840,0,864
114,4,0,7,18,3106080,3607,840,0,868
115,7,0,4,21,3148920,3615,840,0,875
116,9,0,9,16,3153660,3604,840,0,884
117,2,0,3,22,3192180,3615,840,0,886
118,6,0,4,21,3211320,3616,840,0,892
119,5,0,5,20,3220680,3610,840,0,897
120,13,0,11,14,3242160,3606,840,0,910
121,10,0,9,16,3263940,3582,840,0,920
122,4,0,5,20,3295080,3585,840,0,924
123,5,0,5,20,3315360,3588,840,0,929
124,11,0,12,13,3326160,3584,840,0,940
125,8,0,8,17,3361980,3576,840,0,948
126,7,0,5,20,3388620,3566,840,0,955
127,4,0,4,21,3410040,3570,840,0,959
128,13,0,8,17,3424860,3552,840,0,972
129,10,0,10,15,3455160,3554,840,0,982
130,10,0,8,17,3501900,3558,840,0,992
131,10,0,8,17,3534840,3556,840,0,1002
132,14,0,16,9,3553380,3553,840,0,1016
133,12,0,11,14,3615540,3555,840,0,1028
134,16,0,14,11,3654360,3547,840,0,1044
135,9,0,12,13,3705540,3559,840,0,1053
136,5,0,7,18,3743400,3561,840,0,1058
137,11,0,10,15,3777420,3566,840,0,1069
138,5,0,4,21,3821340,3571,840,0,1074
139,6,0,5,20,3840540,3572,840,0,1080
140,7,0,6,19,3858600,3569,840,0,1087
141,6,0,7,18,3874920,3568,840,0,1093
142,6,0,2,23,3906840,3561,840,0,1099
143,4,0,3,22,3917400,3561,840,0,1103
144,5,0,5,20,3924780,3558,840,0,1108
145,2,0,3,22,3941460,3560,840,0,1110
146,8,0,6,19,3955140,3556,840,0,1118
147,4,0,4,21,3978540,3558,840,0,1122
148,9,0,5,20,4001700,3553,840,0,1131
