Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,7,0,7,18,0,0,0,0,7
2,2,0,5,20,16440,4110,0,0,9
3,4,0,5,20,39540,4942,0,0,13
4,1,0,2,23,69360,5780,0,0,14
5,3,0,3,22,75960,5425,0,0,17
6,7,0,6,19,89580,4976,0,0,24
7,6,0,6,19,111180,4632,0,0,30
8,5,0,8,17,128220,4748,0,0,35
9,9,0,13,12,150360,4850,0,0,44
10,11,0,15,10,185100,4627,0,0,55
11,13,0,16,9,259740,4995,0,0,68
12,14,0,17,8,308100,4740,0,0,82
13,6,0,11,14,365040,4740,0,0,88
14,12,0,14,11,414120,4815,0,0,100
15,12,0,17,8,458160,4822,0,0,112
16,8,0,12,13,522300,4836,0,0,120
17,8,0,10,15,579060,4907,0,0,128
18,12,0,11,14,617520,4786,0,0,140
19,13,0,16,9,657480,4799,0,0,153
20,5,0,12,13,701640,4805,0,0,158
21,9,0,10,15,765120,4873,0,0,167
22,3,0,7,18,793680,4869,0,0,170
23,7,0,9,16,816420,4859,0,0,177
24,5,0,8,17,851280,4892,0,0,182
25,7,0,10,15,869400,4856,0,0,189
26,3,0,5,20,923580,4938,0,0,192
27,3,0,4,21,941220,4927,0,0,195
28,5,0,4,21,960960,4902,0,0,200
29,3,0,2,23,981000,4880,0,0,203
30,2,0,1,24,991020,4857,0,0,205
31,9,0,9,16,997500,4865,0,0,214
32,9,0,11,14,1024200,4831,0,0,223
33,6,0,7,18,1077720,4854,0,0,229
34,11,0,11,14,1107600,4836,0,0,240
35,9,0,15,10,1128360,4822,0,0,249
36,10,0,15,10,1183740,4851,0,0,259
37,13,0,16,9,1240440,4845,0,0,272
38,13,0,20,5,1280940,4833,0,0,285
39,15,0,20,5,1358280,4851,0,0,300
40,9,0,14,11,1424460,4828,0,0,309
41,9,0,14,11,1476180,4855,0,0,318
42,4,0,7,18,1536600,4878,0,0,322
43,10,0,12,13,1565820,4893,0,0,332
44,9,0,11,14,1616160,4897,0,0,341
45,12,0,13,12,1656960,4873,0,0,353
46,4,0,9,16,1692960,4864,0,0,357
47,8,0,7,18,1742520,4867,0,0,365
48,0,0,3,22,1759740,4861,0,0,365
49,4,0,4,21,1779180,4874,0,0,369
50,2,0,3,22,1794480,4876,0,0,371
51,3,0,2,23,1811040,4868,0,0,374
52,8,0,9,16,1811520,4856,0,0,382
53,7,0,9,16,1842780,4849,0,0,389
54,10,0,10,15,1875540,4821,0,0,399
55,9,0,11,14,1908660,4807,0,0,408
56,12,0,15,10,1947240,4808,0,0,420
57,5,0,9,16,2003040,4815,0,0,425
58,13,0,13,12,2044680,4811,0,0,438
59,6,0,12,13,2073540,4799,0,0,444
60,13,0,12,13,2125920,4777,0,0,457
61,6,0,13,12,2155140,4789,0,0,463
62,17,0,17,8,2214780,4783,0,0,480
63,11,0,16,9,2264880,4768,0,0,491
64,6,0,10,15,2318760,4761,0,0,497
65,11,0,13,12,2364180,4776,0,0,508
66,12,0,15,10,2411100,4774,0,0,520
67,12,0,16,9,2465160,4777,0,0,532
68,2,0,8,17,2520420,4791,0,0,534
69,8,0,8,17,2571300,4815,0,0,542
70,9,0,13,12,2588460,4811,0,0,551
71,4,0,7,18,2638380,4814,0,0,555
72,3,0,5,20,2665440,4819,0,0,558
73,5,0,7,18,2685840,4830,0,0,563
74,9,0,9,16,2716260,4824,0,0,572
75,6,0,8,17,2749920,4824,0,0,578
76,7,0,9,16,2781000,4828,0,0,585
77,8,0,12,13,2810160,4836,0,0,593
78,6,0,13,12,2835120,4838,0,0,599
79,7,0,10,15,2894160,4855,0,0,606
80,6,0,9,16,2923920,4848,0,0,612
81,6,0,8,17,2952780,4840,0,0,618
82,10,0,13,12,2973900,4835,0,0,628
83,7,0,13,12,3006480,4833,0,0,635
84,5,0,9,16,3061560,4851,0,0,640
85,4,0,6,19,3099240,4857,0,0,644
86,11,0,14,11,3113520,4857,0,0,655
87,8,0,11,14,3155940,4840,0,0,663
88,5,0,8,17,3198840,4846,0,0,668
89,7,0,9,16,3225360,4842,0,0,675
90,9,0,14,11,3256860,4860,0,0,684
91,7,0,11,14,3307200,4863,0,0,691
92,6,0,10,15,3343800,4867,0,0,697
93,8,0,10,15,3388200,4875,0,0,705
94,5,0,6,19,3420180,4858,0,0,710
95,6,0,8,17,3433800,4850,0,0,716
96,5,0,6,19,3466500,4848,0,0,721
