Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,3,0,3,22,0,0,0,0,3
2,2,0,3,22,8340,4170,0,0,5
3,4,0,4,21,21300,4260,0,0,9
4,5,0,4,21,32280,3228,0,0,14
5,4,0,2,23,51300,3206,0,0,18
6,4,0,3,22,55380,2914,0,0,22
7,6,0,6,19,62760,2852,0,0,28
8,9,0,5,20,87720,2741,0,0,37
9,11,0,10,15,105480,2775,0,0,48
10,7,0,6,19,133380,2722,0,0,55
11,8,0,7,18,162180,2896,0,0,63
12,11,0,8,17,186240,2821,0,0,74
13,6,0,6,19,213720,2888,0,0,80
14,6,0,8,17,232680,2983,0,0,86
15,8,0,9,16,255420,3004,0,0,94
16,7,0,8,17,292260,3142,0,0,101
17,3,0,6,19,319500,3260,0,0,104
18,7,0,7,18,349440,3360,0,0,111
19,8,0,7,18,376560,3362,0,0,119
20,7,0,10,15,388620,3350,0,0,126
21,8,0,12,13,403560,3307,0,0,134
22,7,0,6,19,462060,3422,0,0,141
23,3,0,4,21,490440,3503,0,0,144
24,5,0,2,23,513060,3490,0,0,149
25,2,0,3,22,513840,3471,0,0,151
26,3,0,3,22,523920,3469,0,0,154
27,3,0,1,24,541740,3472,0,0,157
28,7,0,8,17,541740,3472,0,0,164
29,3,0,5,20,561780,3467,0,0,167
30,5,0,4,21,589500,3508,0,0,172
31,8,0,10,15,599460,3526,0,0,180
32,13,0,15,10,622440,3496,0,0,193
33,6,0,5,20,686460,3538,0,0,199
34,6,0,6,19,713100,3583,0,0,205
35,13,0,12,13,730140,3544,0,0,218
36,16,0,16,9,771540,3539,0,0,234
37,8,0,6,19,834960,3537,0,0,242
38,7,0,6,19,859920,3538,0,0,249
39,4,0,3,22,881040,3524,0,0,253
40,5,0,5,20,889920,3517,0,0,258
41,8,0,9,16,901740,3508,0,0,266
42,8,0,10,15,929220,3519,0,0,274
43,3,0,4,21,970320,3554,0,0,277
44,4,0,3,22,998940,3593,0,0,281
45,4,0,7,18,998940,3593,0,0,285
46,3,0,4,21,1026900,3615,0,0,288
47,6,0,6,19,1040340,3612,0,0,294
48,3,0,4,21,1057980,3610,0,0,297
49,4,0,4,21,1075800,3622,0,0,301
50,5,0,3,22,1090860,3600,0,0,306
51,8,0,6,19,1103760,3583,0,0,314
52,5,0,5,20,1123200,3577,0,0,319
53,4,0,6,19,1141380,3600,0,0,323
54,8,0,8,17,1151640,3565,0,0,331
55,7,0,9,16,1186320,3605,0,0,338
56,5,0,6,19,1220520,3621,0,0,343
57,10,0,7,18,1246200,3601,0,0,353
58,11,0,9,16,1275540,3593,0,0,364
59,7,0,8,17,1298940,3578,0,0,371
