Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,7,0,4,21,5520,1840,0,0,7
2,6,0,5,20,18720,2340,0,0,13
3,3,0,5,20,28380,2580,0,0,16
4,7,0,6,19,47640,2802,0,0,23
5,6,0,7,18,62640,2847,0,0,29
6,6,0,8,17,89160,3302,0,0,35
7,4,0,6,19,117000,3545,0,0,39
8,4,0,3,22,153960,3849,0,0,43
9,8,0,8,17,163800,3809,0,0,51
10,7,0,6,19,192660,3705,0,0,58
11,8,0,9,16,206640,3625,0,0,66
12,14,0,13,12,244980,3656,0,0,80
13,10,0,12,13,287220,3682,0,0,90
14,10,0,11,14,324540,3646,0,0,100
15,14,0,16,9,373080,3806,0,0,114
16,8,0,11,14,411360,3705,0,0,122
17,8,0,6,19,459000,3701,0,0,130
18,13,0,11,14,482280,3653,0,0,143
19,9,0,10,15,520500,3665,0,0,152
20,7,0,6,19,557280,3642,0,0,159
21,7,0,6,19,587160,3669,0,0,166
22,5,0,5,20,610740,3679,0,0,171
23,6,0,3,22,631260,3627,0,0,177
24,3,0,3,22,644520,3641,0,0,180
25,5,0,6,19,656040,3665,0,0,185
26,4,0,5,20,671160,3647,0,0,189
27,7,0,8,17,682320,3629,0,0,196
28,3,0,5,20,713220,3676,0,0,199
29,5,0,6,19,730260,3688,0,0,204
30,10,0,9,16,755280,3684,0,0,214
31,9,0,9,16,782520,3656,0,0,223
32,14,0,15,10,809100,3644,0,0,237
33,8,0,12,13,862620,3702,0,0,245
34,13,0,11,14,916020,3708,0,0,258
35,13,0,10,15,970020,3716,0,0,271
36,9,0,11,14,992640,3690,0,0,280
37,13,0,15,10,1029840,3704,0,0,293
38,6,0,9,16,1075920,3710,0,0,299
39,15,0,18,7,1099560,3714,0,0,314
40,8,0,12,13,1163400,3752,0,0,322
41,16,0,13,12,1215240,3739,0,0,338
42,10,0,8,17,1260600,3707,0,0,348
43,6,0,5,20,1308180,3748,0,0,354
44,6,0,7,18,1328460,3763,0,0,360
45,8,0,8,17,1345500,3737,0,0,368
46,5,0,6,19,1374060,3744,0,0,373
47,3,0,6,19,1393380,3765,0,0,376
48,4,0,6,19,1416900,3788,0,0,380
49,3,0,4,21,1442220,3805,0,0,383
50,7,0,5,20,1459920,3792,0,0,390
51,8,0,9,16,1470600,3780,0,0,398
52,13,0,12,13,1501440,3763,0,0,411
53,7,0,12,13,1520220,3744,0,0,418
54,10,0,9,16,1573560,3755,0,0,428
55,9,0,10,15,1612620,3776,0,0,437
56,13,0,12,13,1638900,3741,0,0,450
57,5,0,3,22,1693260,3746,0,0,455
58,9,0,5,20,1709820,3725,0,0,464
59,15,0,12,13,1720260,3683,0,0,479
60,15,0,14,11,1745940,3637,0,0,494
61,12,0,16,9,1798380,3670,0,0,506
62,5,0,3,22,1861620,3664,0,0,511
63,10,0,7,18,1884480,3666,0,0,521
64,8,0,6,19,1902660,3637,0,0,529
65,10,0,7,18,1927380,3622,0,0,539
66,10,0,12,13,1941540,3615,0,0,549
67,13,0,15,10,1972620,3606,0,0,562
68,6,0,7,18,2034600,3626,0,0,568
69,11,0,7,18,2071800,3622,0,0,579
70,3,0,6,19,2087100,3623,0,0,582
71,9,0,10,15,2111940,3635,0,0,591
72,6,0,7,18,2145540,3636,0,0,597
73,4,0,7,18,2172060,3656,0,0,601
74,4,0,6,19,2192340,3660,0,0,605
75,8,0,5,20,2231880,3670,0,0,613
76,7,0,9,16,2239200,3664,0,0,620
77,5,0,9,16,2256540,3663,0,0,625
