Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,2,0,0,25,1320,660,0,0,2
2,7,0,4,21,3780,756,0,0,9
3,6,0,6,19,14820,1646,0,0,15
4,3,0,7,18,24600,2236,0,0,18
5,6,0,6,19,52620,2923,0,0,24
6,9,0,5,20,85500,3053,0,0,33
7,5,0,7,18,100320,3236,0,0,38
8,11,0,13,12,119520,3320,0,0,49
9,12,0,10,15,162660,3189,0,0,61
10,5,0,10,15,183420,3275,0,0,66
11,11,0,11,14,226320,3429,0,0,77
12,18,0,15,10,272760,3409,0,0,95
13,12,0,11,14,328800,3425,0,0,107
14,6,0,11,14,354720,3477,0,0,113
15,13,0,13,12,393600,3483,0,0,126
16,12,0,14,11,440580,3553,0,0,138
17,9,0,7,18,495660,3540,0,0,147
18,9,0,10,15,521940,3574,0,0,156
19,13,0,13,12,549360,3521,0,0,169
20,6,0,9,16,586860,3535,0,0,175
21,6,0,9,16,622320,3618,0,0,181
22,4,0,5,20,654900,3638,0,0,185
23,5,0,7,18,672300,3673,0,0,190
24,5,0,3,22,711900,3707,0,0,195
25,4,0,5,20,718380,3702,0,0,199
26,7,0,4,21,736860,3647,0,0,206
27,3,0,3,22,747000,3626,0,0,209
28,5,0,3,22,762120,3611,0,0,214
29,2,0,3,22,776580,3645,0,0,216
30,8,0,9,16,786540,3658,0,0,224
31,13,0,15,10,805800,3629,0,0,237
32,6,0,6,19,863820,3644,0,0,243
33,7,0,7,18,891960,3670,0,0,250
34,10,0,11,14,905640,3637,0,0,260
35,8,0,8,17,956700,3679,0,0,268
36,7,0,6,19,987780,3672,0,0,275
37,9,0,6,19,1015800,3653,0,0,284
38,11,0,12,13,1035180,3657,0,0,295
39,10,0,10,15,1070220,3627,0,0,305
40,11,0,11,14,1114260,3653,0,0,316
41,7,0,8,17,1153260,3661,0,0,323
42,16,0,13,12,1185360,3636,0,0,339
43,7,0,10,15,1228680,3656,0,0,346
44,9,0,7,18,1269120,3646,0,0,355
45,6,0,6,19,1295100,3648,0,0,361
46,4,0,4,21,1324800,3669,0,0,365
47,2,0,4,21,1337520,3684,0,0,367
48,7,0,5,20,1357800,3679,0,0,374
49,3,0,1,24,1384020,3680,0,0,377
50,5,0,6,19,1384020,3680,0,0,382
51,0,0,1,24,1404480,3686,0,0,382
52,6,0,5,20,1406400,3672,0,0,388
53,11,0,5,20,1436220,3645,0,0,399
54,6,0,3,22,1456620,3623,0,0,405
55,6,0,4,21,1471080,3614,0,0,411
56,4,0,4,21,1477920,3595,0,0,415
57,11,0,8,17,1493940,3574,0,0,426
58,11,0,12,13,1514100,3562,0,0,437
59,5,0,9,16,1550700,3581,0,0,442
60,11,0,11,14,1592400,3602,0,0,453
61,14,0,10,15,1636740,3581,0,0,467
62,9,0,10,15,1668420,3580,0,0,476
63,12,0,12,13,1709760,3591,0,0,488
64,12,0,11,14,1757940,3594,0,0,500
65,9,0,10,15,1803240,3613,0,0,509
66,8,0,10,15,1830780,3611,0,0,517
67,6,0,7,18,1867800,3619,0,0,523
68,5,0,4,21,1900020,3625,0,0,528
69,6,0,8,17,1905780,3623,0,0,534
70,6,0,7,18,1927620,3616,0,0,540
71,8,0,4,21,1963920,3610,0,0,548
72,5,0,4,21,1979040,3604,0,0,553
73,4,0,3,22,1994940,3600,0,0,557
74,6,0,6,19,2001900,3594,0,0,563
75,3,0,5,20,2015280,3592,0,0,566
76,8,0,8,17,2041680,3607,0,0,574
77,4,0,9,16,2049480,3601,0,0,578
78,15,0,9,16,2107020,3607,0,0,593
79,9,0,9,16,2133660,3598,0,0,602
80,11,0,10,15,2167980,3595,0,0,613
81,14,0,9,16,2212560,3580,0,0,627
82,11,0,13,12,2240460,3584,0,0,638
83,13,0,10,15,2297220,3583,0,0,651
84,12,0,11,14,2325120,3566,0,0,663
85,16,0,14,11,2352480,3537,0,0,679
86,8,0,9,16,2409000,3553,0,0,687
87,11,0,11,14,2442000,3554,0,0,698
88,6,0,7,18,2477760,3554,0,0,704
89,8,0,7,18,2510160,3560,0,0,712
90,12,0,10,15,2537100,3553,0,0,724
91,8,0,11,14,2552460,3540,0,0,732
92,11,0,13,12,2601180,3563,0,0,743
93,5,0,8,17,2649060,3579,0,0,748
94,4,0,5,20,2682360,3590,0,0,752
95,2,0,3,22,2706240,3603,0,0,754
96,7,0,6,19,2718840,3601,0,0,761
97,5,0,4,21,2745480,3602,0,0,766
98,5,0,6,19,2756340,3603,0,0,771
99,6,0,6,19,2780100,3605,0,0,777
100,6,0,5,20,2801220,3600,0,0,783
101,7,0,6,19,2821980,3599,0,0,790
102,5,0,5,20,2847480,3604,0,0,795
103,11,0,8,17,2868300,3594,0,0,806
104,9,0,5,20,2904360,3585,0,0,815
105,6,0,7,18,2915040,3581,0,0,821
106,6,0,4,21,2939100,3571,0,0,827
107,7,0,7,18,2948340,3565,0,0,834
108,13,0,13,12,2973660,3565,0,0,847
109,9,0,12,13,3007500,3563,0,0,856
110,8,0,15,10,3032700,3572,0,0,864
111,10,0,14,11,3085500,3587,0,0,874
112,14,0,16,9,3135360,3595,0,0,888
113,6,0,9,16,3190980,3605,0,0,894
114,8,0,7,18,3234420,3613,0,0,902
115,5,0,6,19,3256200,3613,0,0,907
116,7,0,9,16,3277980,3622,0,0,914
117,9,0,10,15,3308160,3623,0,0,923
118,4,0,6,19,3337680,3623,0,0,927
119,2,0,2,23,3362100,3626,0,0,929
120,5,0,2,23,3383160,3630,0,0,934
121,4,0,6,19,3383160,3630,0,0,938
122,8,0,7,18,3396960,3617,0,0,946
123,5,0,3,22,3431520,3619,0,0,951
124,6,0,6,19,3448020,3625,0,0,957
125,6,0,6,19,3474780,3630,0,0,963
126,7,0,7,18,3488520,3622,0,0,970
127,9,0,6,19,3523440,3621,0,0,979
128,8,0,5,20,3549180,3614,0,0,987
129,11,0,10,15,3574320,3617,0,0,998
130,7,0,8,17,3600600,3611,0,0,1005
131,9,0,7,18,3638100,3612,0,0,1014
132,10,0,8,17,3662160,3604,0,0,1024
133,12,0,13,12,3688500,3605,0,0,1036
134,13,0,17,8,3731700,3615,0,0,1049
135,13,0,11,14,3797820,3613,0,0,1062
136,11,0,12,13,3839160,3618,0,0,1073
137,5,0,8,17,3882780,3628,0,0,1078
138,12,0,8,17,3917580,3620,0,0,1090
139,5,0,4,21,3949740,3620,0,0,1095
140,10,0,6,19,3966660,3609,0,0,1105
141,5,0,6,19,3984600,3609,0,0,1110
142,5,0,4,21,3999180,3599,0,0,1115
143,6,0,7,18,4012440,3601,0,0,1121
144,5,0,7,18,4034640,3605,0,0,1126
145,2,0,4,21,4048920,3602,0,0,1128
146,4,0,3,22,4079880,3613,0,0,1132
147,4,0,2,23,4092120,3608,0,0,1136
148,3,0,4,21,4097040,3609,0,0,1139
149,11,0,12,13,4101720,3604,0,0,1150
150,5,0,4,21,4144080,3600,0,0,1155
151,10,0,10,15,4161060,3602,0,0,1165
152,15,0,12,13,4195920,3592,0,0,1180
153,5,0,11,14,4216020,3591,0,0,1185
154,16,0,15,10,4252080,3585,0,0,1201
155,14,0,13,12,4321620,3595,0,0,1215
156,14,0,14,11,4367460,3594,0,0,1229
157,10,0,13,12,4403880,3592,0,0,1239
158,12,0,10,15,4469460,3601,0,0,1251
159,10,0,13,12,4489740,3597,0,0,1261
160,12,0,13,12,4541160,3604,0,0,1273
161,14,0,12,13,4590600,3600,0,0,1287
162,13,0,15,10,4632540,3605,0,0,1300
163,9,0,8,17,4689900,3604,0,0,1309
164,9,0,4,21,4729260,3599,0,0,1318
165,12,0,12,13,4740420,3596,0,0,1330
166,6,0,10,15,4773120,3599,0,0,1336
167,5,0,7,18,4805400,3602,0,0,1341
168,4,0,6,19,4834680,3610,0,0,1345
169,6,0,5,20,4869300,3617,0,0,1351
170,4,0,7,18,4880220,3620,0,0,1355
171,3,0,6,19,4896480,3621,0,0,1358
172,6,0,7,18,4917960,3624,0,0,1364
173,4,0,2,23,4943760,3619,0,0,1368
174,3,0,3,22,4953420,3620,0,0,1371
175,9,0,6,19,4962840,3611,0,0,1380
176,7,0,7,18,4977240,3606,0,0,1387
177,17,0,14,11,5006280,3601,0,0,1404
178,10,0,9,16,5050620,3594,0,0,1414
179,12,0,15,10,5073000,3595,0,0,1426
