Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,4,0,2,23,4080,2040,0,0,4
2,5,0,2,23,15120,2160,0,0,9
3,9,0,8,17,25020,2502,0,0,18
4,13,0,14,11,52140,3067,0,0,31
5,3,0,6,19,92880,3317,0,0,34
6,3,0,4,21,116580,3532,0,0,37
7,11,0,10,15,146160,3846,0,0,48
8,10,0,11,14,165900,3529,0,0,58
9,7,0,8,17,210660,3695,0,0,65
10,10,0,9,16,241020,3651,0,0,75
11,14,0,16,9,252780,3462,0,0,89
12,9,0,11,14,312300,3589,0,0,98
13,11,0,12,13,363480,3747,0,0,109
14,13,0,13,12,395220,3625,0,0,122
15,14,0,16,9,446400,3720,1380,10,136
16,5,0,11,14,495240,3809,1380,9,141
17,6,0,7,18,549840,3927,1380,9,147
18,14,0,11,14,588660,3924,1380,8,161
19,8,0,8,17,621060,3857,1380,8,169
20,8,0,9,16,646680,3849,1380,7,177
21,6,0,8,17,667140,3812,1380,7,183
22,5,0,5,20,700920,3830,1380,7,188
23,5,0,4,21,723960,3830,1380,7,193
24,2,0,3,22,734580,3825,1380,7,195
25,8,0,8,17,746880,3830,1380,6,203
26,1,0,4,21,771720,3858,1380,6,204
27,7,0,5,20,792120,3845,1380,6,211
28,2,0,2,23,807240,3825,1380,6,213
29,10,0,9,16,822120,3841,1380,6,223
30,4,0,8,17,836160,3818,1380,6,227
31,8,0,7,18,875160,3838,1380,5,235
32,8,0,9,16,891960,3811,1380,5,243
33,6,0,7,18,917280,3790,1380,5,249
34,5,0,6,19,946320,3815,1380,5,254
35,13,0,13,12,968640,3813,1380,5,267
36,12,0,16,9,995880,3786,1380,4,279
37,10,0,9,16,1060020,3785,1380,4,289
38,13,0,12,13,1100760,3795,1380,4,302
39,5,0,10,15,1131900,3811,1380,4,307
40,10,0,10,15,1175760,3829,1380,4,317
41,10,0,12,13,1210980,3844,1380,4,327
42,5,0,7,18,1243020,3824,1380,4,332
43,9,0,11,14,1260540,3819,1380,4,341
44,14,0,13,12,1287000,3763,1380,3,355
45,6,0,10,15,1332660,3796,1380,3,361
46,5,0,10,15,1362060,3826,1380,3,366
47,10,0,11,14,1397400,3828,1380,3,376
48,6,0,6,19,1445520,3844,1380,3,382
49,7,0,9,16,1467120,3860,1380,3,389
50,6,0,9,16,1490460,3861,1380,3,395
51,8,0,8,17,1533060,3881,1380,3,403
52,10,0,8,17,1554960,3839,1380,3,413
53,9,0,6,19,1590720,3823,1380,3,422
54,7,0,10,15,1598280,3814,1380,3,429
55,5,0,8,17,1641060,3852,1380,3,434
56,10,0,10,15,1666800,3840,1380,3,444
57,6,0,9,16,1701780,3858,1380,3,450
58,6,0,7,18,1733700,3861,1380,3,456
59,8,0,7,18,1756380,3843,1380,2,464
60,9,0,5,20,1785720,3815,1380,2,473
61,4,0,6,19,1798680,3818,1380,2,477
62,5,0,6,19,1814100,3811,1380,2,482
63,9,0,11,14,1824420,3800,1380,2,491
64,10,0,9,16,1869600,3800,1380,2,501
65,11,0,14,11,1890240,3795,1380,2,512
66,4,0,3,22,1947300,3795,1380,2,516
67,6,0,6,19,1962780,3803,1380,2,522
68,8,0,9,16,1973640,3788,1380,2,530
69,8,0,10,15,1986300,3761,1380,2,538
70,7,0,10,15,2018340,3772,1380,2,545
71,7,0,6,19,2077380,3804,1380,2,552
72,8,0,6,19,2099340,3789,1380,2,560
73,3,0,5,20,2114820,3790,1380,2,563
74,5,0,4,21,2140260,3794,1380,2,568
75,5,0,4,21,2162100,3799,1380,2,573
76,4,0,3,22,2183520,3804,1380,2,577
77,3,0,5,20,2184720,3799,1380,2,580
78,10,0,7,18,2210280,3791,1380,2,590
79,19,0,14,11,2225160,3739,1380,2,609
80,6,0,8,17,2256660,3717,1380,2,615
81,5,0,3,22,2303040,3732,1380,2,620
82,8,0,8,17,2310000,3725,1380,2,628
83,9,0,8,17,2334000,3710,1380,2,637
84,15,0,18,7,2344440,3697,1380,2,652
85,9,0,11,14,2411460,3709,1380,2,661
86,12,0,10,15,2461920,3713,1380,2,673
87,10,0,9,16,2497140,3704,1380,2,683
88,13,0,12,13,2529960,3698,1380,1,696
89,10,0,10,15,2570700,3693,1380,1,706
90,14,0,15,10,2600100,3688,1380,1,720
91,6,0,6,19,2665020,3701,1380,1,726
92,6,0,7,18,2685420,3704,1380,1,732
93,5,0,9,16,2699040,3707,1380,1,737
94,7,0,7,18,2737620,3714,1380,1,744
95,7,0,7,18,2774520,3729,1380,1,751
96,4,0,6,19,2790240,3725,1380,1,755
97,6,0,5,20,2823300,3734,1380,1,761
98,3,0,2,23,2845260,3733,1380,1,764
99,5,0,5,20,2851920,3732,1380,1,769
100,4,0,6,19,2866140,3736,1380,1,773
101,2,0,4,21,2885520,3742,1380,1,775
102,9,0,8,17,2904600,3743,1380,1,784
103,3,0,7,18,2916420,3739,1380,1,787
104,8,0,7,18,2951460,3745,1380,1,795
105,11,0,7,18,2984820,3735,1380,1,806
106,13,0,11,14,3006360,3720,1380,1,819
107,5,0,5,20,3046080,3719,1380,1,824
108,11,0,9,16,3068280,3714,1380,1,835
109,15,0,17,8,3088560,3707,1380,1,850
110,10,0,11,14,3141420,3700,1380,1,860
111,9,0,6,19,3185460,3691,1380,1,869
112,10,0,7,18,3210720,3682,1380,1,879
113,9,0,11,14,3231480,3684,1380,1,888
114,8,0,9,16,3270180,3686,1380,1,896
115,5,0,5,20,3301380,3684,1380,1,901
116,4,0,5,20,3318900,3687,1380,1,905
117,4,0,7,18,3320820,3681,1380,1,909
118,3,0,4,21,3341280,3679,1380,1,912
119,4,0,3,22,3378300,3700,1380,1,916
120,7,0,3,22,3389280,3684,1380,1,923
121,6,0,8,17,3395580,3686,1380,1,929
122,4,0,5,20,3416220,3681,1380,1,933
123,4,0,5,20,3422460,3672,1380,1,937
124,5,0,4,21,3446520,3674,1380,1,942
125,5,0,3,22,3462420,3667,1380,1,947
126,9,0,8,17,3477480,3668,1380,1,956
127,12,0,10,15,3501360,3654,1380,1,968
128,11,0,12,13,3527100,3647,1380,1,979
129,12,0,14,11,3583920,3668,1380,1,991
130,9,0,14,11,3621240,3672,1380,1,1000
131,6,0,6,19,3679440,3679,1380,1,1006
132,10,0,7,18,3708240,3675,1380,1,1016
133,8,0,7,18,3728280,3665,1380,1,1024
134,14,0,11,14,3748620,3650,1380,1,1038
135,11,0,10,15,3787620,3645,1380,1,1049
136,5,0,7,18,3822720,3651,1380,1,1054
137,10,0,8,17,3855300,3650,1380,1,1064
138,8,0,4,21,3892560,3644,1380,1,1072
139,8,0,5,20,3909120,3636,1380,1,1080
140,9,0,9,16,3918960,3628,1380,1,1089
141,5,0,6,19,3945540,3626,1380,1,1094
142,11,0,6,19,3985080,3626,1380,1,1105
143,5,0,7,18,3999000,3625,1380,1,1110
144,4,0,9,16,4005300,3624,1380,1,1114
145,1,0,2,23,4052520,3641,1380,1,1115
146,7,0,6,19,4057020,3635,1380,1,1122
147,6,0,5,20,4095120,3646,1380,1,1128
148,8,0,5,20,4124460,3646,1380,1,1136
149,7,0,5,20,4135320,3633,1380,1,1143
150,10,0,8,17,4151880,3626,1380,1,1153
151,8,0,8,17,4170840,3617,1380,1,1161
152,7,0,5,20,4214280,3623,1380,1,1168
153,8,0,3,22,4241940,3616,1380,1,1176
154,5,0,5,20,4246500,3610,1380,1,1181
155,13,0,12,13,4257660,3602,1380,1,1194
156,9,0,13,12,4290060,3605,1380,1,1203
157,8,0,11,14,4344720,3620,1380,1,1211
158,9,0,10,15,4373520,3614,1380,1,1220
159,13,0,15,10,4405260,3616,1380,1,1233
160,10,0,13,12,4458540,3624,1380,1,1243
161,8,0,7,18,4519380,3632,1380,1,1251
162,10,0,7,18,4553520,3631,1380,1,1261
163,4,0,5,20,4582860,3637,1380,1,1265
164,7,0,10,15,4586340,3634,1380,1,1272
165,8,0,5,20,4613880,3618,1380,1,1280
166,3,0,4,21,4641360,3628,1380,1,1283
167,6,0,5,20,4664760,3632,1380,1,1289
168,4,0,5,20,4680240,3633,1380,1,1293
169,10,0,10,15,4690740,3627,1380,1,1303
170,7,0,6,19,4733340,3629,1380,1,1310
171,7,0,7,18,4749300,3625,1380,1,1317
172,4,0,4,21,4773600,3624,1380,1,1321
173,4,0,5,20,4784880,3624,1380,1,1325
174,7,0,5,20,4811280,3625,1380,1,1332
175,9,0,11,14,4817940,3622,1380,1,1341
176,14,0,14,11,4856280,3621,1380,1,1355
177,11,0,10,15,4898700,3612,1380,1,1366
178,8,0,11,14,4932900,3619,1380,1,1374
179,14,0,15,10,4983120,3629,1380,0,1388
180,10,0,16,9,5009220,3624,1380,0,1398
181,4,0,6,19,5087580,3644,1380,0,1402
182,11,0,10,15,5112780,3644,1380,0,1413
183,5,0,6,19,5139240,3639,1380,0,1418
184,13,0,9,16,5174400,3638,1380,0,1431
185,4,0,5,20,5200500,3636,1380,0,1435
186,10,0,9,16,5222880,3637,1380,0,1445
187,7,0,10,15,5248680,3639,1380,0,1452
188,7,0,5,20,5296020,3642,1380,0,1459
189,3,0,3,22,5326140,3650,1380,0,1462
190,10,0,5,20,5342340,3641,1380,0,1472
191,7,0,6,19,5355540,3635,1380,0,1479
192,5,0,7,18,5369100,3635,1380,0,1484
193,4,0,3,22,5402280,3637,1380,0,1488
194,4,0,4,21,5407020,3633,1380,0,1492
195,3,0,2,23,5421060,3630,1380,0,1495
196,5,0,3,22,5434080,3629,1380,0,1500
197,2,0,3,22,5442780,3630,1380,0,1502
198,8,0,8,17,5447760,3627,1380,0,1510
199,9,0,12,13,5459880,3623,1380,0,1519
200,9,0,8,17,5525160,3634,1380,0,1528
201,9,0,10,15,5547720,3633,1380,0,1537
202,19,0,11,14,5598120,3623,1380,0,1556
203,11,0,13,12,5636340,3626,1380,0,1567
204,8,0,10,15,5685180,3632,1380,0,1575
205,13,0,9,16,5745600,3638,1380,0,1588
206,16,0,13,12,5770800,3627,1380,0,1604
207,13,0,13,12,5818260,3627,1380,0,1617
208,10,0,10,15,5882700,3638,1380,0,1627
209,9,0,7,18,5918640,3633,1380,0,1636
210,4,0,5,20,5935440,3630,1380,0,1640
211,7,0,7,18,5953920,3630,1380,0,1647
212,5,0,3,22,5984640,3629,1380,0,1652
213,7,0,6,19,6001740,3630,1380,0,1659
214,6,0,6,19,6015540,3626,1380,0,1665
215,5,0,8,17,6020340,3622,1380,0,1670
216,9,0,7,18,6056880,3622,1380,0,1679
217,4,0,5,20,6075900,3620,1380,0,1683
218,4,0,6,19,6092280,3624,1380,0,1687
219,13,0,7,18,6131640,3621,1380,0,1700
220,3,0,3,22,6152700,3619,1380,0,1703
221,12,0,9,16,6173640,3618,1380,0,1715
222,5,0,8,17,6196680,3619,1380,0,1720
223,9,0,7,18,6237120,3622,1380,0,1729
224,4,0,4,21,6253680,3616,1380,0,1733
225,15,0,10,15,6280020,3613,1380,0,1748
226,10,0,11,14,6315480,3615,1380,0,1758
227,13,0,12,13,6348720,3609,1380,0,1771
228,11,0,9,16,6401580,3610,1380,0,1782
229,8,0,8,17,6443160,3615,1380,0,1790
230,12,0,8,17,6464160,3603,1380,0,1802
231,13,0,12,13,6497820,3603,1380,0,1815
232,17,2,20,5,6520860,3602,1440,0,1832
233,8,0,17,8,6578040,3608,15060,8,1840
234,10,0,9,16,6675480,3626,15060,8,1850
235,6,0,6,19,6702300,3622,15060,8,1856
236,4,0,4,21,6719940,3620,15060,8,1860
237,7,0,7,18,6736200,3621,15060,8,1867
238,4,0,5,20,6761520,3623,15060,8,1871
239,3,0,4,21,6777180,3624,15060,8,1874
240,3,0,1,24,6799740,3624,15060,8,1877
241,3,0,3,22,6802860,3624,15060,8,1880
242,4,0,4,21,6813480,3624,15060,7,1884
243,5,0,6,19,6818640,3621,15060,7,1889
244,5,0,5,20,6837120,3619,15060,7,1894
245,10,0,9,16,6862860,3621,15060,7,1904
246,5,0,9,16,6879300,3620,15060,7,1909
