Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,9,0,9,16,0,0,0,0,9
2,5,0,7,18,24240,3462,0,0,14
3,5,0,5,20,53460,3818,0,0,19
4,5,0,6,19,63900,3550,0,0,24
5,10,0,11,14,87120,3787,0,0,34
6,8,0,14,11,109020,3893,0,0,42
7,9,0,9,16,177240,4220,0,0,51
8,16,0,18,7,203460,4152,0,0,67
9,16,0,22,3,242940,3982,0,0,83
10,9,0,15,10,326400,4238,0,0,92
11,10,0,16,9,389100,4524,0,0,102
12,8,0,12,13,454140,4634,0,0,110
13,10,0,16,9,492660,4737,0,0,120
14,12,0,14,11,560820,4752,0,0,132
15,8,0,12,13,609420,4761,0,0,140
16,9,0,14,11,649740,4812,0,0,149
17,12,0,12,13,715200,4800,0,0,161
18,7,0,10,15,747120,4728,0,0,168
19,6,0,11,14,781740,4795,0,0,174
20,4,0,5,20,835320,4828,0,0,178
21,7,0,6,19,858900,4798,0,0,185
22,8,0,8,17,891240,4817,0,0,193
23,3,0,10,15,895740,4815,0,0,196
24,5,0,6,19,945600,4849,0,0,201
25,8,0,11,14,960660,4851,0,0,209
26,2,0,7,18,989580,4850,0,0,211
27,4,0,5,20,1031100,4910,0,0,215
28,6,0,8,17,1043940,4901,0,0,221
29,5,0,8,17,1070940,4912,0,0,226
30,7,0,10,15,1093320,4902,0,0,233
31,9,0,14,11,1117860,4902,0,0,242
32,8,0,13,12,1170600,4939,0,0,250
33,8,0,11,14,1220340,4940,0,0,258
34,4,0,8,17,1260180,4961,0,0,262
35,12,0,13,12,1294320,4959,0,0,274
36,7,0,12,13,1328340,4938,0,0,281
37,15,0,19,6,1362600,4919,0,0,296
38,8,0,15,10,1424520,4929,0,0,304
39,10,0,15,10,1474920,4932,0,0,314
40,8,0,14,11,1524120,4948,0,0,322
41,16,0,14,11,1599840,4937,0,0,338
42,6,0,10,15,1639260,4907,0,0,344
43,7,0,9,16,1680900,4914,0,0,351
44,7,0,11,14,1706760,4918,0,0,358
45,8,0,7,18,1765260,4917,0,0,366
46,2,0,4,21,1787520,4910,0,0,368
47,4,0,5,20,1805220,4918,0,0,372
48,4,0,5,20,1824900,4918,0,0,376
49,3,0,4,21,1837680,4900,0,0,379
50,7,0,7,18,1858440,4903,0,0,386
51,9,0,12,13,1874580,4894,0,0,395
52,5,0,7,18,1922100,4890,0,0,400
53,4,0,7,18,1944660,4898,0,0,404
54,7,0,9,16,1975680,4914,0,0,411
55,11,0,16,9,1996860,4918,0,0,422
56,3,0,8,17,2062860,4946,0,0,425
57,9,0,11,14,2093280,4948,0,0,434
58,7,0,12,13,2124720,4952,0,0,441
59,8,0,10,15,2180400,4966,0,0,449
60,11,0,14,11,2213340,4962,0,0,460
61,9,0,18,7,2244420,4976,0,0,469
62,14,0,21,4,2308440,4996,0,0,483
63,6,0,12,13,2388180,5006,0,0,489
64,14,0,16,9,2441460,5013,0,0,503
65,5,0,8,17,2489340,4978,0,0,508
66,10,0,13,12,2513400,4977,0,0,518
67,7,0,11,14,2558220,4977,0,0,525
68,8,0,11,14,2602020,4984,0,0,533
69,4,0,10,15,2633160,4996,0,0,537
70,9,0,9,16,2687280,5004,0,0,546
71,5,0,9,16,2709300,4998,0,0,551
72,7,0,8,17,2750460,5000,0,0,558
73,8,0,10,15,2778180,4996,0,0,566
74,6,0,8,17,2809020,4980,0,0,572
75,7,0,9,16,2840220,4982,0,0,579
76,3,0,8,17,2864640,4990,0,0,582
77,10,0,8,17,2912040,4986,0,0,592
78,13,0,16,9,2934060,4981,0,0,605
79,7,0,12,13,2973660,4956,0,0,612
80,14,0,13,12,3040140,4959,0,0,626
81,10,0,15,10,3066420,4937,0,0,636
82,8,0,12,13,3125280,4945,0,0,644
83,14,0,18,7,3168960,4951,0,0,658
84,9,0,14,11,3221100,4932,0,0,667
85,8,0,13,12,3261960,4927,0,0,675
86,10,0,12,13,3322920,4937,0,0,685
87,11,0,15,10,3364500,4940,0,0,696
88,10,0,13,12,3427440,4945,0,0,706
89,7,0,10,15,3479280,4949,0,0,713
90,6,0,7,18,3515220,4937,0,0,719
91,7,0,9,16,3535620,4931,0,0,726
92,7,0,9,16,3563160,4921,0,0,733
93,5,0,10,15,3584220,4923,0,0,738
94,5,0,7,18,3626280,4927,0,0,743
95,5,0,6,19,3648480,4917,0,0,748
96,6,0,7,18,3672120,4915,0,0,754
97,7,0,11,14,3689820,4919,0,0,761
98,5,0,12,13,3709380,4919,0,0,766
99,7,0,9,16,3759960,4921,0,0,773
100,7,0,10,15,3793080,4926,0,0,780
101,1,0,6,19,3823080,4933,0,0,781
102,10,0,10,15,3863520,4946,0,0,791
103,5,0,9,16,3880800,4931,0,0,796
104,14,0,17,8,3912780,4934,0,0,810
105,9,0,16,9,3965580,4938,0,0,819
106,7,0,10,15,4034100,4943,0,0,826
107,12,0,14,11,4076160,4946,0,0,838
108,14,0,14,11,4132980,4931,0,0,852
109,10,0,14,11,4177560,4926,0,0,862
110,9,0,13,12,4227840,4927,0,0,871
111,13,0,15,10,4285320,4931,0,0,884
