Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,3,0,2,23,1860,1860,0,0,3
2,3,0,1,24,13920,2784,0,0,6
3,3,0,3,22,14580,2430,0,0,9
4,2,0,3,22,25140,3142,0,0,11
5,9,0,7,18,35760,2750,0,0,20
6,6,0,6,19,53640,2682,0,0,26
7,6,0,6,19,79260,3048,0,0,32
8,12,0,9,16,109440,3126,0,0,44
9,6,0,4,21,132840,2887,0,0,50
10,14,0,15,10,145680,2973,0,0,64
11,8,0,12,13,182460,3041,0,0,72
12,16,0,16,9,228780,3177,0,0,88
13,13,0,17,8,270480,3220,0,0,101
14,13,0,15,10,336720,3401,0,0,114
15,11,0,13,12,397440,3548,0,0,125
16,11,0,14,11,435540,3570,0,0,136
17,12,0,10,15,488400,3539,0,0,148
18,6,0,7,18,522780,3556,0,0,154
19,10,0,9,16,554820,3579,0,0,164
20,3,0,4,21,591000,3625,0,0,167
21,8,0,10,15,601920,3648,0,0,175
22,10,0,11,14,637740,3665,0,0,185
23,2,0,4,21,678240,3706,0,0,187
24,4,0,3,22,708000,3765,0,0,191
25,4,0,4,21,714120,3738,0,0,195
26,6,0,6,19,725460,3720,0,0,201
27,4,0,6,19,743220,3734,0,0,205
28,6,0,4,21,772260,3730,0,0,211
29,6,0,7,18,785820,3742,0,0,217
30,7,0,8,17,800160,3704,0,0,224
31,9,0,9,16,826080,3687,0,0,233
32,6,0,7,18,859200,3703,0,0,239
33,9,0,7,18,891660,3699,0,0,248
34,8,0,9,16,907080,3672,0,0,256
35,14,0,12,13,944040,3659,0,0,270
36,12,0,13,12,981060,3647,0,0,282
37,7,0,10,15,1031040,3695,0,0,289
38,8,0,8,17,1067820,3694,0,0,297
39,16,0,14,11,1099620,3677,0,0,313
40,10,0,12,13,1138620,3661,0,0,323
41,6,0,6,19,1190820,3686,0,0,329
42,12,0,11,14,1216440,3686,0,0,341
43,10,0,12,13,1238100,3652,0,0,351
44,9,0,10,15,1284540,3670,0,0,360
45,3,0,4,21,1316340,3666,0,0,363
46,11,0,11,14,1339860,3691,0,0,374
47,9,0,9,16,1372260,3669,0,0,383
48,2,0,7,18,1387200,3669,0,0,385
49,5,0,7,18,1411260,3684,0,0,390
50,5,0,3,22,1447140,3691,0,0,395
51,5,0,5,20,1466760,3713,0,0,400
52,3,0,2,23,1485180,3703,0,0,403
53,3,0,2,23,1495500,3701,0,0,406
54,6,0,5,20,1499820,3685,0,0,412
55,7,0,8,17,1509060,3671,0,0,419
56,6,0,5,20,1533720,3651,0,0,425
57,4,0,2,23,1558140,3649,0,0,429
58,10,0,9,16,1562520,3633,0,0,439
