Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,2,0,2,23,0,0,0,0,2
2,9,0,8,17,9180,3060,0,0,11
3,5,0,8,17,28260,3532,0,0,16
4,7,0,5,20,64860,3603,0,0,23
5,9,0,9,16,81960,3563,0,0,32
6,1,0,5,20,97080,3467,0,0,33
7,11,0,10,15,122160,3592,0,0,44
8,7,0,7,18,167460,3805,0,0,51
9,6,0,7,18,195480,3909,0,0,57
10,12,0,10,15,225960,3829,0,0,69
11,10,0,12,13,268980,4014,0,0,79
12,12,0,14,11,310980,4038,0,0,91
13,8,0,11,14,341940,3885,0,0,99
14,13,0,10,15,417840,4096,0,0,112
15,8,0,8,17,438600,3916,0,0,120
16,8,0,10,15,466380,3952,0,0,128
17,5,0,8,17,504000,4032,0,0,133
18,5,0,7,18,527040,4023,0,0,138
19,6,0,6,19,560820,4063,0,0,144
20,3,0,3,22,584820,4061,0,0,147
21,11,0,6,19,607080,3993,0,0,158
22,6,0,5,20,632460,3977,0,0,164
23,4,0,4,21,647040,3945,0,0,168
24,6,0,5,20,666120,3941,0,0,174
25,3,0,5,20,674160,3919,0,0,177
26,6,0,3,22,704460,3913,0,0,183
27,2,0,2,23,712020,3890,0,0,185
28,6,0,4,21,726120,3882,0,0,191
29,5,0,6,19,731100,3847,0,0,196
30,7,0,11,14,741060,3859,0,0,203
31,6,0,7,18,782760,3875,0,0,209
32,6,0,6,19,811560,3883,0,0,215
33,11,0,9,16,841200,3876,0,0,226
34,8,0,11,14,864660,3877,0,0,234
35,12,0,10,15,924720,3918,0,0,246
36,5,0,8,17,945780,3892,0,0,251
37,10,0,9,16,979800,3888,0,0,261
38,12,0,12,13,1015500,3890,0,0,273
39,10,0,10,15,1048980,3842,0,0,283
40,16,0,13,12,1093680,3824,0,0,299
41,15,0,14,11,1134480,3781,0,0,314
42,12,0,12,13,1181400,3762,0,0,326
43,11,0,13,12,1228620,3792,0,0,337
44,12,0,12,13,1279620,3797,0,0,349
45,7,0,8,17,1326180,3810,0,0,356
46,7,0,7,18,1353180,3801,0,0,363
47,5,0,6,19,1385880,3828,0,0,368
48,4,0,6,19,1404120,3836,0,0,372
49,7,0,10,15,1417320,3840,0,0,379
50,4,0,6,19,1453440,3855,0,0,383
51,8,0,4,21,1485180,3837,0,0,391
52,11,0,10,15,1501020,3829,0,0,402
53,5,0,5,20,1541100,3833,0,0,407
54,5,0,5,20,1561200,3835,0,0,412
55,11,0,6,19,1590120,3813,0,0,423
56,14,0,13,12,1609620,3796,0,0,437
57,8,0,9,16,1648080,3780,0,0,445
58,8,0,7,18,1693740,3797,0,0,453
59,8,0,8,17,1719420,3795,0,0,461
60,12,0,10,15,1764000,3809,0,0,473
61,6,0,10,15,1783260,3802,0,0,479
62,6,0,7,18,1823700,3815,0,0,485
63,10,0,12,13,1857180,3845,0,0,495
64,11,0,13,12,1893120,3840,0,0,506
65,16,0,16,9,1943640,3841,0,0,522
66,4,0,6,19,2005380,3856,0,0,526
67,13,0,11,14,2041860,3867,0,0,539
68,7,0,7,18,2086920,3871,0,0,546
69,6,0,7,18,2107440,3866,0,0,552
