Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,6,0,4,21,5400,2700,0,0,6
2,10,0,6,19,14940,1494,0,0,16
3,5,0,6,19,26820,1788,0,0,21
4,7,0,6,19,53040,2410,0,0,28
5,4,0,7,18,60180,2407,0,0,32
6,9,0,8,17,84180,2550,0,0,41
7,5,0,5,20,111180,2711,0,0,46
8,8,0,7,18,130020,2766,0,0,54
9,12,0,9,16,156360,2743,0,0,66
10,13,0,11,14,180780,2658,0,0,79
11,11,0,9,16,224400,2770,0,0,90
12,10,0,12,13,249300,2832,0,0,100
13,9,0,10,15,288360,2912,0,0,109
14,11,0,12,13,336120,3112,0,0,120
15,7,0,9,16,377160,3196,0,0,127
16,7,0,9,16,406920,3255,0,0,134
17,7,0,8,17,441000,3315,0,0,141
18,5,0,7,18,457980,3294,0,0,146
19,8,0,11,14,478800,3348,0,0,154
20,10,0,11,14,507900,3319,0,0,164
21,12,0,13,12,561060,3442,0,0,176
22,8,0,11,14,585180,3382,0,0,184
23,4,0,6,19,648720,3564,0,0,188
24,5,0,5,20,676200,3596,0,0,193
25,2,0,2,23,699300,3623,0,0,195
26,2,0,3,22,707700,3647,0,0,197
27,4,0,4,21,710820,3608,0,0,201
28,6,0,6,19,730800,3635,0,0,207
29,8,0,9,16,739920,3591,0,0,215
30,6,0,6,19,783360,3643,0,0,221
31,9,0,7,18,803100,3601,0,0,230
32,3,0,3,22,825660,3589,0,0,233
33,11,0,7,18,833880,3518,0,0,244
34,10,0,12,13,854520,3531,0,0,254
35,7,0,9,16,881940,3499,0,0,261
36,7,0,11,14,897420,3491,0,0,268
37,11,0,10,15,967500,3596,0,0,279
38,19,0,15,10,1012500,3577,0,0,298
39,14,0,12,13,1062420,3541,0,0,312
40,7,0,5,20,1105020,3519,0,0,319
41,7,0,8,17,1119960,3521,0,0,326
42,8,0,7,18,1150680,3518,0,0,334
43,9,0,9,16,1169400,3501,0,0,343
44,3,0,7,18,1185660,3497,0,0,346
45,4,0,8,17,1199160,3506,0,0,350
46,4,0,6,19,1231920,3540,0,0,354
47,7,0,5,20,1270860,3569,0,0,361
48,4,0,4,21,1288980,3570,0,0,365
49,10,0,8,17,1304940,3555,0,0,375
50,5,0,4,21,1327800,3531,0,0,380
51,6,0,5,20,1341120,3520,0,0,386
52,11,0,9,16,1365420,3519,0,0,397
53,5,0,9,16,1380240,3512,0,0,402
54,7,0,6,19,1416300,3514,0,0,409
55,6,0,6,19,1450620,3546,0,0,415
56,14,0,9,16,1473480,3508,0,0,429
57,10,0,8,17,1499340,3478,0,0,439
58,6,0,4,21,1529340,3467,0,0,445
59,9,0,8,17,1543680,3461,0,0,454
60,13,0,15,10,1567860,3468,0,0,467
61,17,0,20,5,1605180,3459,0,0,484
62,13,0,17,8,1702140,3546,0,0,497
63,13,0,13,12,1777320,3576,0,0,510
64,8,0,13,12,1811460,3587,0,0,518
65,14,0,8,17,1879020,3585,0,0,532
66,11,0,10,15,1913040,3589,0,0,543
67,5,0,8,17,1943940,3599,0,0,548
68,6,0,4,21,1995600,3628,0,0,554
69,12,0,10,15,2008860,3613,0,0,566
70,7,0,6,19,2043360,3603,0,0,573
71,6,0,4,21,2075340,3609,0,0,579
72,9,0,9,16,2089080,3608,0,0,588
73,9,0,9,16,2110140,3588,0,0,597
74,3,0,5,20,2141100,3598,0,0,600
75,4,0,3,22,2166900,3605,0,0,604
76,10,0,7,18,2177580,3587,0,0,614
77,3,0,7,18,2186880,3585,0,0,617
78,6,0,4,21,2227980,3599,0,0,623
79,7,0,7,18,2247420,3607,0,0,630
80,8,0,9,16,2266260,3602,0,0,638
81,5,0,7,18,2288940,3598,0,0,643
82,12,0,10,15,2336040,3621,0,0,655
83,14,0,16,9,2347860,3595,0,0,669
84,11,0,14,11,2395800,3597,0,0,680
85,9,0,11,14,2454480,3620,0,0,689
86,10,0,10,15,2506800,3638,0,0,699
87,13,0,16,9,2529420,3634,0,0,712
88,15,0,17,8,2577900,3630,0,0,727
89,10,0,12,13,2633520,3632,0,0,737
90,10,0,10,15,2690580,3650,0,0,747
91,12,0,11,14,2726760,3645,0,0,759
92,5,0,8,17,2759460,3650,0,0,764
93,7,0,7,18,2804040,3670,0,0,771
94,8,0,11,14,2816940,3667,0,0,779
95,7,0,14,11,2841780,3681,0,0,786
96,6,0,7,18,2910600,3707,0,0,792
97,4,0,6,19,2934840,3714,0,0,796
98,10,0,7,18,2963400,3708,0,0,806
99,14,0,11,14,2992200,3698,0,0,820
100,9,0,8,17,3042300,3705,0,0,829
101,9,0,9,16,3089400,3726,0,0,838
102,9,0,8,17,3116820,3714,0,0,847
103,6,0,7,18,3138000,3709,0,0,853
104,11,0,10,15,3169200,3711,0,0,864
105,13,0,14,11,3197160,3704,0,0,877
106,8,0,8,17,3238980,3693,0,0,885
107,5,0,6,19,3275040,3704,0,0,890
108,14,0,12,13,3298380,3697,0,0,904
109,9,0,9,16,3325440,3678,0,0,913
110,11,0,14,11,3348720,3679,0,0,924
111,17,0,14,11,3408000,3676,0,0,941
112,8,0,7,18,3459120,3672,0,0,949
113,5,0,5,20,3478200,3665,0,0,954
114,8,0,7,18,3509700,3675,0,0,962
115,8,0,12,13,3519600,3673,0,0,970
116,9,0,9,16,3556560,3666,0,0,979
117,10,0,10,15,3608760,3686,0,0,989
118,10,0,9,16,3640080,3676,0,0,999
119,6,0,10,15,3665640,3684,0,0,1005
120,4,0,7,18,3689520,3682,0,0,1009
121,8,0,6,19,3731700,3691,0,0,1017
122,7,0,6,19,3744060,3677,0,0,1024
123,5,0,3,22,3777540,3681,0,0,1029
124,4,0,4,21,3787020,3680,0,0,1033
