Hour,Arrivals,Waiting,Treating,Available Rooms,Total Treatment Time,Average Treatment Time,Total Wait Time,Average Wait Time,Total Arrivals
1,2,0,1,24,840,840,0,0,2
2,2,0,3,22,840,840,0,0,4
3,3,0,2,23,9180,1836,0,0,7
4,3,0,1,24,19080,2120,0,0,10
5,4,0,1,24,24300,1869,0,0,14
6,6,0,3,22,30300,1782,0,0,20
7,5,0,6,19,40860,2150,0,0,25
8,12,0,11,14,59460,2286,0,0,37
9,4,0,7,18,82140,2415,0,0,41
10,7,0,7,18,120060,2928,0,0,48
11,6,0,7,18,141480,3010,0,0,54
12,11,0,9,16,171600,3064,0,0,65
13,20,0,19,6,187560,2841,0,0,85
14,8,0,11,14,260580,3177,0,0,93
15,14,0,15,10,310800,3378,0,0,107
16,11,0,12,13,346620,3270,0,0,118
17,14,0,15,10,386400,3302,0,0,132
18,7,0,15,10,423720,3417,0,0,139
19,5,0,9,16,480540,3559,0,0,144
20,8,0,11,14,512640,3635,0,0,152
21,2,0,5,20,548520,3681,0,0,154
22,4,0,3,22,581640,3752,0,0,158
23,8,0,8,17,591420,3743,0,0,166
24,4,0,4,21,613080,3693,0,0,170
25,6,0,4,21,623220,3623,0,0,176
26,4,0,4,21,642000,3647,0,0,180
27,2,0,2,23,658560,3658,0,0,182
28,5,0,4,21,665280,3635,0,0,187
29,4,0,6,19,680400,3677,0,0,191
30,9,0,7,18,708420,3670,0,0,200
31,5,0,6,19,721440,3625,0,0,205
32,13,0,15,10,739560,3643,0,0,218
33,9,0,15,10,776820,3664,0,0,227
34,4,0,8,17,832140,3731,0,0,231
35,8,0,9,16,868500,3776,0,0,239
36,10,0,12,13,892920,3767,0,0,249
37,14,0,14,11,927780,3726,0,0,263
38,8,0,9,16,984600,3758,0,0,271
39,5,0,6,19,1021740,3784,0,0,276
40,9,0,6,19,1055280,3782,0,0,285
41,8,0,8,17,1077240,3779,0,0,293
42,7,0,7,18,1102560,3763,0,0,300
43,14,0,10,15,1130280,3718,0,0,314
44,6,0,11,14,1148100,3715,0,0,320
45,7,0,7,18,1203720,3761,0,0,327
46,4,0,6,19,1225380,3770,0,0,331
47,3,0,4,21,1252980,3796,0,0,334
48,6,0,8,17,1261680,3800,0,0,340
49,4,0,5,20,1288140,3799,0,0,344
50,3,0,2,23,1318500,3821,0,0,347
51,6,0,4,21,1322940,3790,0,0,353
52,7,0,9,16,1326120,3778,0,0,360
53,10,0,9,16,1367700,3788,0,0,370
54,7,0,6,19,1404660,3786,0,0,377
55,9,0,8,17,1425360,3770,0,0,386
56,7,0,7,18,1452420,3762,0,0,393
57,10,0,10,15,1472940,3747,0,0,403
58,9,0,9,16,1509840,3746,0,0,412
59,10,0,8,17,1548420,3740,0,0,422
60,14,0,13,12,1578780,3732,0,0,436
61,14,0,10,15,1630200,3705,0,0,450
62,11,0,11,14,1665180,3700,0,0,461
63,11,0,11,14,1698480,3684,0,0,472
64,10,0,12,13,1731120,3683,0,0,482
65,13,0,14,11,1775460,3691,0,0,495
66,6,0,6,19,1828560,3694,0,0,501
67,13,0,12,13,1844940,3675,0,0,514
68,7,0,8,17,1884660,3673,0,0,521
69,13,0,11,14,1914540,3660,0,0,534
70,9,0,10,15,1949160,3656,0,0,543
71,3,0,4,21,1990740,3672,0,0,546
72,7,0,6,19,2007780,3670,0,0,553
73,4,0,4,21,2026740,3664,0,0,557
74,3,0,2,23,2043000,3661,0,0,560
75,6,0,4,21,2053680,3654,0,0,566
76,11,0,11,14,2060400,3640,0,0,577
77,4,0,8,17,2082300,3634,0,0,581
78,8,0,9,16,2118060,3651,0,0,589
79,7,0,9,16,2142420,3649,0,0,596
80,9,0,10,15,2174040,3653,0,0,605
81,7,0,10,15,2211300,3673,0,0,612
82,11,0,9,16,2252460,3668,0,0,623
83,13,0,10,15,2290200,3658,0,0,636
84,10,0,10,15,2338500,3676,0,0,646
85,13,0,15,10,2368620,3677,0,0,659
86,9,0,9,16,2425200,3680,0,0,668
87,11,0,7,18,2472780,3679,0,0,679
88,7,0,9,16,2493840,3683,0,0,686
89,5,0,5,20,2528280,3685,0,0,691
90,5,0,6,19,2545200,3688,0,0,696
91,12,0,10,15,2570340,3682,0,0,708
92,10,0,12,13,2593920,3674,0,0,718
93,5,0,5,20,2645580,3684,0,0,723
94,6,0,6,19,2678820,3705,0,0,729
95,2,0,0,25,2697720,3690,0,0,731
96,10,0,6,19,2702520,3676,0,0,741
97,13,0,13,12,2716920,3666,0,0,754
98,4,0,6,19,2748120,3654,0,0,758
99,7,0,7,18,2775720,3661,0,0,765
100,5,0,5,20,2799600,3659,0,0,770
101,6,0,5,20,2822640,3661,0,0,776
102,10,0,9,16,2845920,3662,0,0,786
103,9,0,11,14,2872500,3663,0,0,795
104,10,0,15,10,2896800,3666,0,0,805
105,8,0,16,9,2935980,3683,0,0,813
106,13,0,11,14,3019020,3704,0,0,826
107,4,0,3,22,3064140,3705,0,0,830
108,15,0,13,12,3082560,3705,0,0,845
109,9,0,14,11,3111420,3704,0,0,854
110,11,0,12,13,3171840,3718,0,0,865
111,10,0,8,17,3222660,3717,0,0,875
112,9,0,9,16,3252360,3716,0,0,884
113,11,0,12,13,3285480,3720,0,0,895
114,10,0,10,15,3327120,3717,0,0,905
115,11,0,8,17,3366000,3707,0,0,916
116,7,0,8,17,3386760,3701,0,0,923
117,3,0,3,22,3421920,3707,0,0,926
118,10,0,6,19,3435780,3694,0,0,936
119,8,0,10,15,3448260,3691,0,0,944
120,8,0,8,17,3479220,3685,0,0,952
121,5,0,6,19,3505920,3686,0,0,957
122,13,0,9,16,3532140,3675,0,0,970
123,9,0,9,16,3551760,3661,0,0,979
124,5,0,4,21,3601680,3675,0,0,984
125,6,0,7,18,3613320,3675,0,0,990
126,9,0,7,18,3643680,3673,0,0,999
127,4,0,6,19,3657060,3668,0,0,1003
128,7,0,9,16,3678480,3674,0,0,1010
129,7,0,6,19,3717480,3677,0,0,1017
130,12,0,11,14,3739140,3673,0,0,1029
131,8,0,9,16,3779040,3676,0,0,1037
132,7,0,9,16,3798360,3669,0,0,1044
133,13,0,15,10,3846480,3691,0,0,1057
134,4,0,11,14,3880320,3695,0,0,1061
135,10,0,11,14,3921780,3699,0,0,1071
136,7,0,8,17,3968280,3708,0,0,1078
137,14,0,12,13,4012020,3714,0,0,1092
138,13,0,12,13,4037340,3693,0,0,1105
139,5,0,9,16,4081260,3706,0,0,1110
140,9,0,9,16,4120860,3712,0,0,1119
141,7,0,4,21,4167540,3714,0,0,1126
142,4,0,4,21,4182600,3714,0,0,1130
143,4,0,4,21,4191900,3709,0,0,1134
144,4,0,5,20,4204800,3711,0,0,1138
145,4,0,4,21,4225380,3712,0,0,1142
146,6,0,5,20,4237740,3707,0,0,1148
147,7,0,4,21,4256580,3698,0,0,1155
148,4,0,5,20,4264680,3695,0,0,1159
149,3,0,6,19,4275960,3698,0,0,1162
150,12,0,10,15,4307640,3700,0,0,1174
151,7,0,8,17,4345200,3704,0,0,1181
152,8,0,11,14,4364340,3704,0,0,1189
153,4,0,4,21,4415880,3713,0,0,1193
154,10,0,6,19,4438380,3707,0,0,1203
155,8,0,8,17,4448700,3698,0,0,1211
156,7,0,5,20,4490160,3701,0,0,1218
157,7,0,7,18,4500600,3695,0,0,1225
158,11,0,10,15,4516380,3683,0,0,1236
159,10,0,12,13,4555320,3691,0,0,1246
160,16,0,16,9,4594860,3687,0,0,1262
161,7,0,11,14,4649280,3695,0,0,1269
162,11,0,8,17,4701660,3696,0,0,1280
163,5,0,8,17,4720620,3696,0,0,1285
164,10,0,9,16,4752240,3695,0,0,1295
165,6,0,4,21,4790400,3693,0,0,1301
166,6,0,7,18,4798140,3690,0,0,1307
167,6,0,8,17,4812360,3687,0,0,1313
168,4,0,2,23,4861020,3696,0,0,1317
169,5,0,6,19,4865820,3697,0,0,1322
170,8,0,8,17,4879080,3690,0,0,1330
171,7,0,8,17,4914720,3698,0,0,1337
172,4,0,7,18,4938720,3702,0,0,1341
173,6,0,5,20,4977060,3708,0,0,1347
174,5,0,8,17,4985880,3709,0,0,1352
175,11,0,10,15,5019180,3709,0,0,1363
176,6,0,5,20,5058840,3708,0,0,1369
177,10,0,9,16,5073120,3703,0,0,1379
178,7,0,5,20,5098560,3691,0,0,1386
179,7,0,7,18,5117100,3691,0,0,1393
180,4,0,3,22,5148720,3693,0,0,1397
181,16,0,12,13,5161080,3683,0,0,1413
182,10,0,9,16,5200200,3677,0,0,1423
183,6,0,8,17,5228940,3679,0,0,1429
184,13,0,8,17,5278140,3680,0,0,1442
185,7,0,7,18,5307120,3680,0,0,1449
